humidity,temperature,timestamp
72.6,17.7,2014-09-29T21:06:25.818Z
72.2,17.7,2014-09-29T21:06:16.024Z
72.0,17.7,2014-09-29T21:06:03.715Z
72.1,17.8,2014-09-29T21:05:53.929Z
73.0,17.9,2014-09-29T21:05:44.133Z
72.8,17.9,2014-09-29T21:05:29.287Z
73.3,17.9,2014-09-29T21:05:19.475Z
72.9,17.9,2014-09-29T21:05:09.685Z
72.9,17.9,2014-09-29T21:04:59.903Z
72.4,17.9,2014-09-29T21:04:50.120Z
72.2,17.9,2014-09-29T21:04:40.315Z
71.6,17.9,2014-09-29T21:04:25.468Z
71.5,17.9,2014-09-29T21:04:15.684Z
71.8,18.0,2014-09-29T21:04:05.895Z
71.6,18.0,2014-09-29T21:03:56.104Z
72.1,18.1,2014-09-29T21:03:43.754Z
72.0,18.1,2014-09-29T21:03:33.924Z
71.6,18.2,2014-09-29T21:03:24.128Z
71.5,18.1,2014-09-29T21:03:11.805Z
71.1,18.1,2014-09-29T21:03:02.013Z
70.8,18.1,2014-09-29T21:02:52.230Z
70.1,18.1,2014-09-29T21:02:39.899Z
70.5,18.2,2014-09-29T21:02:30.058Z
71.0,18.1,2014-09-29T21:02:20.260Z
70.5,18.1,2014-09-29T21:02:10.454Z
70.3,18.1,2014-09-29T21:02:00.647Z
70.8,18.0,2014-09-29T21:01:48.339Z
70.4,18.0,2014-09-29T21:01:36.028Z
70.7,18.1,2014-09-29T21:01:21.194Z
71.7,18.1,2014-09-29T21:01:08.879Z
71.7,18.1,2014-09-29T21:00:59.096Z
71.3,18.0,2014-09-29T21:00:46.789Z
70.6,18.1,2014-09-29T21:00:37.006Z
71.0,18.0,2014-09-29T21:00:27.216Z
71.2,18.0,2014-09-29T21:00:17.403Z
71.4,18.0,2014-09-29T21:00:05.087Z
72.3,17.9,2014-09-29T20:59:52.769Z
73.1,17.9,2014-09-29T20:59:37.936Z
73.2,17.8,2014-09-29T20:59:28.160Z
73.6,17.7,2014-09-29T20:59:18.373Z
74.0,17.5,2014-09-29T20:59:03.527Z
73.7,17.4,2014-09-29T20:58:53.712Z
73.8,17.4,2014-09-29T20:58:38.877Z
74.0,17.3,2014-09-29T20:58:29.070Z
74.7,17.3,2014-09-29T20:58:19.265Z
74.4,17.2,2014-09-29T20:58:09.460Z
74.6,17.1,2014-09-29T20:57:59.681Z
74.5,17.1,2014-09-29T20:57:49.891Z
74.2,17.2,2014-09-29T20:57:40.102Z
75.0,17.2,2014-09-29T20:57:25.271Z
76.4,17.1,2014-09-29T20:57:15.450Z
75.9,17.1,2014-09-29T20:57:05.641Z
76.1,17.0,2014-09-29T20:56:55.813Z
75.8,17.0,2014-09-29T20:56:46.033Z
76.2,16.9,2014-09-29T20:56:36.250Z
75.6,16.9,2014-09-29T20:56:26.464Z
76.1,16.8,2014-09-29T20:56:14.112Z
76.5,16.7,2014-09-29T20:56:04.290Z
76.7,16.7,2014-09-29T20:55:54.488Z
77.4,16.7,2014-09-29T20:55:44.707Z
76.9,16.6,2014-09-29T20:55:32.402Z
77.3,16.6,2014-09-29T20:55:22.618Z
77.5,16.6,2014-09-29T20:55:12.827Z
77.2,16.5,2014-09-29T20:54:55.468Z
77.3,16.4,2014-09-29T20:54:45.668Z
77.3,16.4,2014-09-29T20:54:33.355Z
77.7,16.4,2014-09-29T20:54:23.569Z
78.5,16.3,2014-09-29T20:54:11.254Z
78.3,16.3,2014-09-29T20:54:01.473Z
78.0,16.2,2014-09-29T20:53:51.687Z
78.0,16.2,2014-09-29T20:53:41.858Z
78.5,16.2,2014-09-29T20:53:32.074Z
79.1,16.1,2014-09-29T20:53:17.240Z
79.3,16.0,2014-09-29T20:53:07.462Z
79.9,16.0,2014-09-29T20:52:57.651Z
79.5,15.9,2014-09-29T20:52:47.869Z
79.7,15.9,2014-09-29T20:52:38.083Z
80.0,15.9,2014-09-29T20:52:28.301Z
80.1,15.8,2014-09-29T20:52:18.504Z
80.5,15.8,2014-09-29T20:52:03.679Z
80.5,15.8,2014-09-29T20:51:53.883Z
80.3,15.7,2014-09-29T20:51:44.086Z
80.0,15.7,2014-09-29T20:51:34.285Z
79.8,15.7,2014-09-29T20:51:24.444Z
80.1,15.7,2014-09-29T20:51:14.661Z
80.6,15.8,2014-09-29T20:51:04.853Z
80.8,15.8,2014-09-29T20:50:52.491Z
80.6,15.8,2014-09-29T20:50:42.665Z
80.6,15.8,2014-09-29T20:50:32.862Z
78.8,15.8,2014-09-29T20:41:45.670Z
78.9,15.8,2014-09-29T20:41:33.362Z
79.3,15.8,2014-09-29T20:41:23.523Z
79.7,15.8,2014-09-29T20:41:11.211Z
79.8,15.9,2014-09-29T20:41:01.406Z
79.9,15.9,2014-09-29T20:40:51.609Z
80.0,15.9,2014-09-29T20:40:41.820Z
79.8,15.9,2014-09-29T20:40:29.514Z
79.9,15.9,2014-09-29T20:40:19.728Z
80.1,15.9,2014-09-29T20:40:09.951Z
80.1,15.9,2014-09-29T20:40:00.171Z
80.2,15.8,2014-09-29T20:39:47.823Z
80.5,15.8,2014-09-29T20:39:38.034Z
80.4,15.8,2014-09-29T20:39:28.234Z
80.3,15.8,2014-09-29T20:39:13.375Z
80.1,15.8,2014-09-29T20:39:03.580Z
79.9,15.8,2014-09-29T20:38:51.278Z
79.7,15.8,2014-09-29T20:38:41.479Z
79.4,15.8,2014-09-29T20:38:29.129Z
79.2,15.8,2014-09-29T20:38:16.786Z
78.8,15.8,2014-09-29T20:38:07.009Z
78.8,15.8,2014-09-29T20:37:57.227Z
78.9,15.8,2014-09-29T20:37:44.922Z
79.0,15.8,2014-09-29T20:37:35.127Z
78.8,15.8,2014-09-29T20:37:25.347Z
79.1,15.9,2014-09-29T20:37:13.001Z
79.3,15.8,2014-09-29T20:37:00.679Z
80.0,15.9,2014-09-29T20:36:45.845Z
79.7,15.8,2014-09-29T20:36:31.000Z
79.3,15.9,2014-09-29T20:36:21.215Z
79.2,15.8,2014-09-29T20:36:11.429Z
79.9,15.8,2014-09-29T20:36:01.635Z
80.5,15.8,2014-09-29T20:35:51.855Z
80.9,15.8,2014-09-29T20:35:36.994Z
80.8,15.8,2014-09-29T20:35:27.189Z
80.6,15.8,2014-09-29T20:35:17.381Z
80.3,15.8,2014-09-29T20:35:07.568Z
80.2,15.8,2014-09-29T20:34:57.784Z
80.7,15.8,2014-09-29T20:34:47.986Z
80.3,15.8,2014-09-29T20:34:38.187Z
80.3,15.8,2014-09-29T20:34:28.410Z
80.9,15.8,2014-09-29T20:34:18.610Z
80.2,15.8,2014-09-29T20:34:08.787Z
80.0,15.8,2014-09-29T20:33:58.681Z
80.1,15.8,2014-09-29T20:33:48.871Z
80.1,15.8,2014-09-29T20:33:39.075Z
80.3,15.8,2014-09-29T20:33:26.767Z
80.7,15.8,2014-09-29T20:33:16.973Z
80.7,15.8,2014-09-29T20:33:07.188Z
80.8,15.8,2014-09-29T20:32:57.379Z
80.8,15.8,2014-09-29T20:32:47.595Z
81.0,15.8,2014-09-29T20:32:35.284Z
81.2,15.8,2014-09-29T20:32:25.501Z
81.2,15.8,2014-09-29T20:32:13.180Z
81.2,15.7,2014-09-29T20:32:03.389Z
81.2,15.7,2014-09-29T20:31:53.598Z
80.8,15.8,2014-09-29T20:31:43.816Z
80.3,15.7,2014-09-29T20:31:23.920Z
79.9,15.7,2014-09-29T20:31:14.055Z
80.2,15.8,2014-09-29T20:31:02.552Z
80.2,15.7,2014-09-29T20:30:52.768Z
80.3,15.8,2014-09-29T20:30:42.975Z
79.9,15.7,2014-09-29T20:30:33.173Z
79.5,15.7,2014-09-29T20:30:23.392Z
79.7,15.7,2014-09-29T20:30:13.607Z
79.8,15.8,2014-09-29T20:30:03.828Z
80.0,15.8,2014-09-29T20:29:54.040Z
81.1,15.8,2014-09-29T20:29:41.732Z
81.1,15.8,2014-09-29T20:29:31.897Z
81.2,15.8,2014-09-29T20:29:22.106Z
81.5,15.8,2014-09-29T20:29:12.321Z
81.6,15.7,2014-09-29T20:29:02.524Z
81.7,15.7,2014-09-29T20:28:52.741Z
81.6,15.7,2014-09-29T20:28:42.953Z
81.4,15.7,2014-09-29T20:28:33.150Z
81.5,15.7,2014-09-29T20:28:20.840Z
81.1,15.7,2014-09-29T20:28:11.043Z
80.9,15.7,2014-09-29T20:28:01.247Z
80.6,15.7,2014-09-29T20:27:51.469Z
80.7,15.7,2014-09-29T20:27:41.667Z
80.9,15.7,2014-09-29T20:27:31.886Z
81.1,15.7,2014-09-29T20:27:22.088Z
81.1,15.7,2014-09-29T20:27:12.309Z
81.1,15.7,2014-09-29T20:26:59.986Z
81.6,15.7,2014-09-29T20:26:47.645Z
80.7,15.8,2014-09-29T20:26:37.841Z
80.6,15.7,2014-09-29T20:26:28.052Z
80.7,15.7,2014-09-29T20:26:15.737Z
81.0,15.7,2014-09-29T20:26:05.955Z
81.8,15.7,2014-09-29T20:25:53.635Z
81.0,15.7,2014-09-29T20:25:43.851Z
80.6,15.7,2014-09-29T20:25:31.537Z
80.5,15.7,2014-09-29T20:25:21.752Z
79.9,15.7,2014-09-29T20:25:11.948Z
79.5,15.7,2014-09-29T20:25:02.138Z
79.6,15.7,2014-09-29T20:24:49.790Z
79.9,15.7,2014-09-29T20:24:39.983Z
79.5,15.6,2014-09-29T20:24:30.203Z
78.5,15.6,2014-09-29T20:24:20.418Z
78.3,15.6,2014-09-29T20:24:10.626Z
78.2,15.6,2014-09-29T20:24:00.836Z
78.0,15.6,2014-09-29T20:23:51.048Z
78.3,15.6,2014-09-29T20:23:41.265Z
78.4,15.7,2014-09-29T20:23:28.930Z
78.1,15.6,2014-09-29T20:23:19.126Z
77.2,15.6,2014-09-29T20:23:09.335Z
76.9,15.7,2014-09-29T20:22:59.537Z
76.3,15.6,2014-09-29T20:22:49.748Z
75.6,15.7,2014-09-29T20:22:37.409Z
75.3,15.7,2014-09-29T20:22:27.617Z
75.8,15.8,2014-09-29T20:22:17.797Z
77.4,15.9,2014-09-29T20:22:08.003Z
77.5,15.9,2014-09-29T20:21:55.649Z
77.6,15.9,2014-09-29T20:21:45.867Z
77.9,15.9,2014-09-29T20:21:36.067Z
78.2,15.9,2014-09-29T20:21:23.761Z
78.5,15.9,2014-09-29T20:21:13.956Z
78.7,15.9,2014-09-29T20:21:04.153Z
79.1,15.9,2014-09-29T20:20:54.361Z
79.7,15.8,2014-09-29T20:20:42.049Z
79.5,15.8,2014-09-29T20:20:29.730Z
79.9,15.8,2014-09-29T20:20:19.944Z
79.9,15.8,2014-09-29T20:20:10.166Z
79.5,15.8,2014-09-29T20:20:00.368Z
79.5,15.8,2014-09-29T20:19:48.051Z
79.7,15.8,2014-09-29T20:19:38.261Z
80.1,15.9,2014-09-29T20:19:28.472Z
79.8,15.9,2014-09-29T20:19:16.165Z
79.7,15.9,2014-09-29T20:19:06.377Z
79.2,15.9,2014-09-29T20:18:56.595Z
79.2,15.9,2014-09-29T20:18:44.283Z
79.8,15.9,2014-09-29T20:18:31.933Z
79.6,15.9,2014-09-29T20:18:19.619Z
79.1,15.9,2014-09-29T20:18:07.303Z
79.5,15.9,2014-09-29T20:17:57.473Z
79.3,16.0,2014-09-29T20:17:47.669Z
79.4,15.9,2014-09-29T20:17:37.885Z
78.9,16.0,2014-09-29T20:17:25.563Z
78.8,16.0,2014-09-29T20:17:15.740Z
79.3,16.0,2014-09-29T20:17:05.944Z
78.6,16.0,2014-09-29T20:16:56.161Z
78.3,16.0,2014-09-29T20:16:46.373Z
78.0,16.0,2014-09-29T20:16:36.571Z
77.8,16.1,2014-09-29T20:16:26.766Z
77.6,16.1,2014-09-29T20:16:14.451Z
77.6,16.1,2014-09-29T20:16:04.652Z
78.6,16.2,2014-09-29T20:15:52.338Z
78.6,16.2,2014-09-29T20:15:40.023Z
78.3,16.2,2014-09-29T20:15:30.241Z
77.1,16.2,2014-09-29T20:15:17.930Z
76.1,16.2,2014-09-29T20:15:08.148Z
76.9,16.3,2014-09-29T20:14:50.778Z
76.9,16.3,2014-09-29T20:14:35.925Z
76.8,16.3,2014-09-29T20:14:23.610Z
76.3,16.3,2014-09-29T20:14:13.829Z
76.1,16.3,2014-09-29T20:14:04.018Z
76.3,16.4,2014-09-29T20:13:51.709Z
76.0,16.4,2014-09-29T20:13:41.900Z
76.1,16.4,2014-09-29T20:13:32.117Z
76.1,16.4,2014-09-29T20:13:19.794Z
75.8,16.4,2014-09-29T20:13:10.015Z
76.0,16.5,2014-09-29T20:13:00.228Z
75.4,16.5,2014-09-29T20:12:45.391Z
75.0,16.5,2014-09-29T20:12:35.607Z
75.3,16.5,2014-09-29T20:12:25.804Z
74.5,16.6,2014-09-29T20:12:16.009Z
74.2,16.6,2014-09-29T20:12:06.187Z
74.2,16.7,2014-09-29T20:11:56.397Z
74.2,16.7,2014-09-29T20:11:46.599Z
73.4,16.6,2014-09-29T20:11:11.579Z
73.8,16.6,2014-09-29T20:11:07.759Z
73.3,16.7,2014-09-29T20:11:03.983Z
73.2,16.7,2014-09-29T20:11:00.185Z
73.2,16.7,2014-09-29T20:10:56.411Z
73.1,16.6,2014-09-29T20:10:52.625Z
73.1,16.6,2014-09-29T20:10:48.842Z
73.0,16.6,2014-09-29T20:10:45.033Z
